0 2.12736200e-10
1 1.56250200e-02
2 3.12500800e-02
3 4.68751000e-02
4 6.25003300e-02
5 7.81253500e-02
6 9.37503900e-02
7 1.09375400e-01
8 1.25001400e-01
9 1.40626400e-01
10 1.56251400e-01
11 1.71876400e-01
12 1.87501600e-01
13 2.03126500e-01
14 2.18751600e-01
15 2.34376500e-01
16 2.50004800e-01
17 2.65629800e-01
18 2.81254700e-01
19 2.96879600e-01
20 3.12504700e-01
21 3.28129600e-01
22 3.43754500e-01
23 3.59379400e-01
24 3.75005000e-01
25 3.90629900e-01
26 4.06254800e-01
27 4.21879700e-01
28 4.37504600e-01
29 4.53129500e-01
30 4.68754400e-01
31 4.84379300e-01
32 5.00012300e-01
33 5.15636900e-01
34 5.31261600e-01
35 5.46886200e-01
36 5.62510900e-01
37 5.78135500e-01
38 5.93760100e-01
39 6.09384800e-01
40 6.25009700e-01
41 6.40634300e-01
42 6.56258900e-01
43 6.71883500e-01
44 6.87508100e-01
45 7.03132800e-01
46 7.18757400e-01
47 7.34382000e-01
48 7.50007800e-01
49 7.65632300e-01
50 7.81256800e-01
51 7.96881400e-01
52 8.12505800e-01
53 8.28130400e-01
54 8.43754900e-01
55 8.59379500e-01
56 8.75003900e-01
57 8.90628500e-01
58 9.06253100e-01
59 9.21877700e-01
60 9.37502200e-01
61 9.53126800e-01
62 9.68751400e-01
63 9.84376100e-01
